Status,FeatureType,PropertyName,SubPropertyName,GISPropNum,OMPPropID,Borough,District,x,y
Activated,Drinking Fountain Spray Adapter,Flushing Meadows Corona Park,Meadow Lake North,Q099,Q099-ZN20,Queens,Q-15,1028038.16569238,209041.735837638
Broken,Misting Station,Sumner Playground,,B263,B263,Brooklyn,B-03,1000105.51453679,193257.724098637
Activated,CS Spray Adapter,Flushing Meadows Corona Park,,Q099,Q099,Queens,Q-15,1030283.59952172,212914.436097472
Activated,Misting Station,Jennie Jerome Playground,,X148C5,X148C5,Bronx,X-05,1008135.28555071,247335.700588136
Activated,Other,Quarry Ballfields,,X263,X263,Bronx,X-06,1014705.72680613,249038.41601473
Activated,RPZ Spray Adapter,Beatty Plaza,,X062,X062,Bronx,X-03,1011412.44402264,242258.498800307
Activated,RPZ Spray Adapter,Bryan Park,,X005,X005,Bronx,X-07,1013504.7810453,253403.538518056
Activated,Misting Station,The Pearly Gates,,X170,X170,Bronx,X-10,1027033.3858778,244966.137413889
Activated,RPZ Spray Adapter,Devoe Park,,X013,X013,Bronx,X-05,1009705.44448389,253703.578272312
Activated,CS Spray Adapter,Webster Playground,,X174,X174,Bronx,X-06,1013861.47718229,252431.077208399
Activated,Misting Station,Franz Sigel Park,,X047,X047,Bronx,X-04,1004632.13540481,238507.188061475
Activated,Drinking Fountain Spray Adapter,Behagen Playground,,X166,X166,Bronx,X-03,1011524.64753839,240058.717438727
Activated,Misting Station,Paerdegat Park,,B218,B218,Brooklyn,B-17,1001363.50086596,171901.827506065
Activated,Misting Station,Maria Hernandez Park,,B016,B016,Brooklyn,B-04,1005306.2718518,195421.884140387
Activated,Misting Station,Bushwick Playground,,B310,B310,Brooklyn,B-01,1001029.16885747,194918.825435221
Activated,CS Spray Adapter,Raymond Bush Playground,,B216,B216,Brooklyn,B-03,1001050.84499521,189415.66124472
Activated,CS Spray Adapter,Beach 9 Playground,,Q162J01,Q162J01,Queens,Q-14,1055173.78924255,156386.109521806
Activated,Other,Rockaway Beach Boardwalk,,Q162,Q162,Queens,Q-14,1042788.06663872,153841.989938139
Activated,Misting Station,Broad Channel Park,,Q460,Q460,Queens,Q-14,1034306.84541222,158393.209838315
Not Yet Activated,Drinking Fountain Spray Adapter,Broad Channel Park,,Q460,Q460,Queens,Q-14,1034306.47303763,158212.173783063
Broken,CS Spray Adapter,St. Andrew's Playground,,B225,B225,Brooklyn,B-03,1000345.25880797,186595.122266396
Activated,Drinking Fountain Spray Adapter,Osborn Playground,,B343,B343,Brooklyn,B-16,1010263.42007397,178336.309715807
Activated,Misting Station,Sternberg Park,,B055,B055,Brooklyn,B-01,999006.159780144,196573.038662225
Activated,Misting Station,Cooper Park,,B025,B025,Brooklyn,B-01,1001892.59265555,200071.888619899
Activated,Drinking Fountain Spray Adapter,Middleton Playground,,B022,B022,Brooklyn,B-01,996678.88523522,194535.356385886
Activated,Drinking Fountain Spray Adapter,Bartlett Playground,,B286,B286,Brooklyn,B-01,999238.442123964,194613.595074564
Activated,Ground Hydrant Spray Adapter,Seth Low Playground/ Bealin Square,,B100,B100,Brooklyn,B-11,988128.079502224,161093.210671886
Activated,Misting Station,Jesse Owens Playground,,B269,B269,Brooklyn,B-03,1002988.35030655,191231.096262142
Broken,Misting Station,Stockton Playground,,B298,B298,Brooklyn,B-03,998556.093423053,193253.033163145
Activated,CS Spray Adapter,Brevoort Playground,,B258,B258,Brooklyn,B-03,1005675.48896113,187275.334160566
Not Yet Activated,Other,Mount Eden Malls,,X081,X081,Bronx,X-04,1009226.03336922,246360.050964638
Not Yet Activated,Other,Pelham Bay Park,,X039,X039,Bronx,X-15,1033386.72881414,248559.452733814
Not Yet Activated,Other,Crotona Park,Crotona Playground (1),X010,X010-01,Bronx,X-03,1013327.57044172,246023.294092223
Broken,Drinking Fountain Spray Adapter,Coffey Park,Coffey Park Playground,B077,B077-01,Brooklyn,B-06,981846.644886642,185936.008099064
Activated,Drinking Fountain Spray Adapter,Hot Spot Tot Lot,,B212,B212,Brooklyn,B-14,996303.086774215,169223.970328971
Broken,Buckner Box Spray Adapter,Tilden Playground,,B234,B234,Brooklyn,B-17,1003281.63580922,175285.77185364
Activated,Misting Station,De Hostos Playground,,B358,B358,Brooklyn,B-01,998321.52269797,195178.029313147
Activated,Misting Station,Rodney Park North,,B223PB,B223PB,Brooklyn,B-01,996379.024286389,197587.758417561
Activated,Misting Station,Fermi Playground,,B334,B334,Brooklyn,B-04,1004133.06455256,194402.050878226
Activated,Misting Station,St. John's Park,,B245,B245,Brooklyn,B-08,1002191.72821213,184928.361164227
Activated,Misting Station,Harry Maze Playground,,B285,B285,Brooklyn,B-17,1005456.24071197,173887.939675554
Broken,Misting Station,Martin Luther King Jr. Playground,,B056,B056,Brooklyn,B-05,1014679.25409005,182324.147540643
Broken,Misting Station,Remsen Playground,,B360,B360,Brooklyn,B-18,1009869.03503596,173198.241251811
