DATE,tempmax
7/1/22,93
7/2/22,88
7/3/22,87
7/4/22,86
7/5/22,87
7/6/22,88
7/7/22,77
7/8/22,85
7/9/22,85
7/10/22,82
7/11/22,84
7/12/22,89
7/13/22,92
7/14/22,88
7/15/22,87
7/16/22,87
7/17/22,87
7/18/22,87
7/19/22,89
7/20/22,90
7/21/22,85
7/22/22,85
7/23/22,85
7/24/22,85
7/25/22,85
7/26/22,85
7/27/22,85
7/28/22,85
7/29/22,85
7/30/22,85
